,index,genres,id,keywords,original_title,release_date,revenue,status,title,cast,director
52,52,'Action Science Fiction Adventure',38356,'moon spacecraft traitor bodyguard alien planet','Transformers: Dark of the Moon',2011-06-28,1123746996,Released,'Transformers: Dark of the Moon','Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel','Michael Bay'
53,53,'Adventure Action',217,'saving the world riddle whip treasure mexico city','Indiana Jones and the Kingdom of the Crystal Skull',2008-05-21,786636033,Released,'Indiana Jones and the Kingdom of the Crystal Skull','Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen','Steven Spielberg'
54,54,'Adventure Animation Family',105864,'tyrannosaurus rex friends alternate history dinosaur fear','The Good Dinosaur',2015-11-14,331926147,Released,'The Good Dinosaur','Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla','Peter Sohn'
55,55,'Animation Adventure Comedy Family Action',62177,'scotland rebel bravery kingdom archer',Brave,2012-06-21,538983207,Released,Brave,'Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd','Brenda Chapman'
56,56,'Action Adventure Science Fiction',188927,'sequel stranded hatred space opera','Star Trek Beyond',2016-07-07,343471816,Released,'Star Trek Beyond','Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana','Justin Lin'
57,57,'Animation Family',10681,'romantic comedy',WALL·E,2008-06-22,521311860,Released,WALL·E,'Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger','Andrew Stanton'
58,58,'Action Comedy Crime Thriller',5174,ambassador,'Rush Hour 3',2007-08-08,258022233,Released,'Rush Hour 3','Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal','Brett Ratner'
59,59,'Action Adventure Science Fiction',14161,'civilization natural disaster end of the world disaster apocalypse',2012,2009-10-10,769653595,Released,2012,'John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt','Roland Emmerich'
60,60,'Animation Drama',17979,'holiday based on novel victorian england money christmas eve','A Christmas Carol',2009-11-04,325233863,Released,'A Christmas Carol','Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan','Robert Zemeckis'
61,61,'Science Fiction Fantasy Action Adventure',76757,'jupiter space woman director 3d interspecies romance','Jupiter Ascending',2015-02-04,183987723,Released,'Jupiter Ascending','Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth','Lilly Wachowski'
62,62,'Action Adventure',258489,'africa feral child tarzan jungle animal attack','The Legend of Tarzan',2016-06-29,356743061,Released,'The Legend of Tarzan','Alexander Skarsg\\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou','David Yates'
63,64,'Science Fiction',246655,'mutant supernatural powers marvel comic superhero based on comic book','X-Men: Apocalypse',2016-05-18,543934787,Released,'X-Men: Apocalypse','James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac','Bryan Singer'
64,65,'Drama Action Crime Thriller',155,'dc comics crime fighter secret identity scarecrow sadism','The Dark Knight',2008-07-16,1004558444,Released,'The Dark Knight','Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal','Christopher Nolan'
65,66,'Animation Comedy Family Adventure',14160,'age difference central and south america balloon animation floating in the air',Up,2009-05-13,735099082,Released,Up,'Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo','Pete Docter'
66,67,'Animation Family Adventure Science Fiction',15512,'alien giant robot duringcreditsstinger','Monsters vs Aliens',2009-03-19,381509870,Released,'Monsters vs Aliens','Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland','Conrad Vernon'
67,68,'Action Science Fiction Adventure',1726,'middle east arms dealer malibu marvel comic superhero','Iron Man',2008-04-30,585174222,Released,'Iron Man','Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow','Jon Favreau'
68,69,'Adventure Drama Family',44826,'library clock film director key toy',Hugo,2011-11-22,185770160,Released,Hugo,'Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\\u00eb Grace Moretz Ray Winstone','Martin Scorsese'
69,70,'Action Adventure Comedy Science Fiction Western',8487,'steampunk based on tv series steam locomotive drag','Wild Wild West',1999-06-29,222104681,Released,'Wild Wild West','Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh','Barry Sonnenfeld'
70,71,'Adventure Action Fantasy',1735,?,'The Mummy: Tomb of the Dragon Emperor',2008-07-01,401128639,Released,'The Mummy: Tomb of the Dragon Emperor','Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford','Rob Cohen'
71,72,'Action Adventure Crime Fantasy Science Fiction',297761,'dc comics shared universe anti hero secret mission villain','Suicide Squad',2016-08-02,745000000,Released,'Suicide Squad','Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto','David Ayer'
72,73,'Fantasy Comedy Family',2698,'father son relationship daily life married couple support father','Evan Almighty',2007-06-09,173000000,Released,'Evan Almighty','Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins','Tom Shadyac'
73,74,'Action Science Fiction',137113,'deja vu time warp restart dystopia war','Edge of Tomorrow',2014-05-27,370541256,Released,'Edge of Tomorrow','Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong','Doug Liman'
74,75,'Adventure Action',9804,'ocean tattoo mutant water dystopia',Waterworld,1995-07-28,264218220,Released,Waterworld,'Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann','Kevin Reynolds'
75,76,'Adventure Action Thriller Science Fiction',14869,'terrorist secret hostage technology warhead','G.I. Joe: The Rise of Cobra',2009-08-04,302469017,Released,'G.I. Joe: The Rise of Cobra','Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt','Stephen Sommers'
76,77,'Drama Comedy Animation Family',150540,'dream cartoon imaginary friend animation family','Inside Out',2015-06-09,857611174,Released,'Inside Out','Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black','Pete Docter'
77,78,'Family Adventure Drama Fantasy',278927,'based on novel snake wolf elephant tiger','The Jungle Book',2016-04-07,966550600,Released,'The Jungle Book','Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson','Jon Favreau'
78,79,'Adventure Action Science Fiction',10138,'malibu marvel comic superhero based on comic book revenge','Iron Man 2',2010-04-28,623933331,Released,'Iron Man 2','Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke','Jon Favreau'
79,80,'Adventure Fantasy Drama',58595,'queen magic fairy tale immortality forest','Snow White and the Huntsman',2012-05-30,396600000,Released,'Snow White and the Huntsman','Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane','Rupert Sanders'
80,81,'Fantasy Adventure Action Family Romance',102651,'fairy tale villain sleeping beauty dark fantasy based on fairy tale',Maleficent,2014-05-28,758539785,Released,Maleficent,'Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple','Robert Stromberg'
81,82,'Science Fiction Action Drama Thriller',119450,'leader colony post-apocalyptic dystopia forest','Dawn of the Planet of the Apes',2014-06-26,710644566,Released,'Dawn of the Planet of the Apes','Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell','Matt Reeves'
82,83,'Action Adventure Science Fiction Romance',79698,?,'The Lovers',2015-02-13,0,Released,'The Lovers','Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu','Roland Joff\\u00e9'
83,84,'Drama Action Adventure Fantasy',64686,'japan suicide samurai based on true story samurai sword','47 Ronin',2013-12-06,150962475,Released,'47 Ronin','Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka','Carl Rinsch'
84,85,'Action Adventure Science Fiction',100402,'washington d.c. future shield marvel comic superhero','Captain America: The Winter Soldier',2014-03-20,714766572,Released,'Captain America: The Winter Soldier','Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan','Anthony Russo'
85,86,'Comedy Adventure Fantasy Animation Family',10192,'ogre 3d','Shrek Forever After',2010-05-16,752600867,Released,'Shrek Forever After','Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews','Mike Mitchell'
86,87,'Adventure Family Mystery Science Fiction',158852,'inventor apocalypse destiny imax dreamer',Tomorrowland,2015-05-19,209154322,Released,Tomorrowland,'Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie','Brad Bird'
87,88,'Adventure Family Animation Action Comedy',177572,'brother brother relationship hero talent revenge best friend','Big Hero 6',2014-10-24,652105443,Released,'Big Hero 6','Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung','Chris Williams'
88,89,'Family Animation Comedy Adventure',82690,'support group product placement bullying racing arcade','Wreck-It Ralph',2012-11-01,471222889,Released,'Wreck-It Ralph','John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk','Rich Moore'
89,90,'Adventure Animation Family Fantasy',5255,'santa claus nerd faith gift bell','The Polar Express',2004-11-10,305875730,Released,'The Polar Express','Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen','Robert Zemeckis'
90,91,'Action Adventure Science Fiction',47933,'alternate history alien invasion','Independence Day: Resurgence',2016-06-22,389681935,Released,'Independence Day: Resurgence','Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward','Roland Emmerich'
91,92,'Fantasy Adventure Animation Family',10191,'flying blacksmith arena island night','How to Train Your Dragon',2010-03-05,494878759,Released,'How to Train Your Dragon','Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill','Chris Sanders'
92,93,'Action Thriller Science Fiction',296,'saving the world artificial intelligence man vs machine cyborg killer robot','Terminator 3: Rise of the Machines',2003-07-02,435000000,Released,'Terminator 3: Rise of the Machines','Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews','Jonathan Mostow'
93,94,'Action Science Fiction Adventure',118340,'marvel comic spaceship space outer space orphan','Guardians of the Galaxy',2014-07-30,773328629,Released,'Guardians of the Galaxy','Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper','James Gunn'
94,95,'Adventure Drama Science Fiction',157336,'saving the world artificial intelligence father son relationship single parent nasa',Interstellar,2014-11-05,675120017,Released,Interstellar,'Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck','Christopher Nolan'
95,96,'Action Thriller Science Fiction Mystery Adventure',27205,'loss of lover dream kidnapping sleep subconsciousness',Inception,2010-07-14,825532764,Released,Inception,'Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe','Christopher Nolan'
96,97,'Action Adventure Drama Horror Science Fiction',315011,'monster godzilla giant monster destruction kaiju',シン・ゴジラ,2016-07-29,77000000,Released,'Shin Godzilla','Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru','Hideaki Anno'
97,98,'Adventure Fantasy Action',49051,'riddle elves dwarves orcs middle-earth (tolkien)','The Hobbit: An Unexpected Journey',2012-11-26,1021103568,Released,'The Hobbit: An Unexpected Journey','Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett','Peter Jackson'
98,99,'Action Crime Thriller',9799,'street gang car race undercover auto-tuning los angeles','The Fast and the Furious',2001-06-22,207283925,Released,'The Fast and the Furious','Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune','Rob Cohen'
99,100,'Fantasy Drama Thriller Mystery Romance',4922,'diary navy funeral tea travel','The Curious Case of Benjamin Button',2008-11-24,333932083,Released,'The Curious Case of Benjamin Button','Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning','David Fincher'
100,101,'Action Science Fiction Adventure',49538,'cia mutant mine marvel comic superhero','X-Men: First Class',2011-05-24,353624124,Released,'X-Men: First Class','James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne','Matthew Vaughn'
101,102,'Action Adventure Science Fiction',131634,'revolution strong woman dystopia game of death 3d','The Hunger Games: Mockingjay - Part 2',2015-11-18,653428261,Released,'The Hunger Games: Mockingjay - Part 2','Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks','Francis Lawrence'
102,103,'Fantasy Adventure Action Comedy Drama',27022,'witch fire wolf fountain magic','The Sorcerer\'s Apprentice',2010-07-13,215283742,Released,'The Sorcerer\'s Apprentice','Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer','Jon Turteltaub'
103,104,'Adventure Action Drama Thriller',503,'new year\'s eve fire drowning cataclysm loss of father',Poseidon,2006-05-12,181674817,Released,Poseidon,'Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum','Wolfgang Petersen'
104,105,Fantasy,241259,'based on novel clock queen sequel alice in wonderland','Alice Through the Looking Glass',2016-05-25,299370084,Released,'Alice Through the Looking Glass','Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman','James Bobin'
105,106,'Fantasy Adventure Animation Comedy Family',810,'ambush sadness stage liberation of prisoners island','Shrek the Third',2007-05-17,798958165,Released,'Shrek the Third','Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas','Chris Miller'
106,107,'Action Adventure Fantasy',68735,'video game elves orcs magic chase',Warcraft,2016-05-25,433677183,Released,Warcraft,'Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper','Duncan Jones'
107,108,'Science Fiction Action Thriller Adventure',87101,'saving the world artificial intelligence cyborg killer robot future','Terminator Genisys',2015-06-23,440603537,Released,'Terminator Genisys','Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons','Alan Taylor'
108,109,'Adventure Family Fantasy',10140,'based on novel magic good vs evil king narnia','The Chronicles of Narnia: The Voyage of the Dawn Treader',2010-08-13,415686217,Released,'The Chronicles of Narnia: The Voyage of the Dawn Treader','Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel','Michael Apted'
109,110,'History Romance War',676,'nurse patriotism hawaii world war ii pilot','Pearl Harbor',2001-05-21,449220945,Released,'Pearl Harbor','Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight','Michael Bay'
110,111,'Adventure Science Fiction Action',1858,'destroy transformation alien based on toy transformers',Transformers,2007-06-27,709709780,Released,Transformers,'Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson','Michael Bay'
111,112,'War History Action Adventure Drama',1966,'aristotle egypt greece persia elephant',Alexander,2004-11-21,167298192,Released,Alexander,'Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers','Oliver Stone'
